Rk,Player,Tm,FantPos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,ScorTD,2PM,2PP,FantPT,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
1,Jonathan Taylor,IND,RB,26,11,11,0,0,0,0,0,205,1197,5.84,15,35,32,268,8.38,2,1,0,17,1.0,,251.0,282.5,288.5,266.5,141.0,1,1.0,2025
2,Christian McCaffrey,SFO,RB,29,12,12,0,0,0,0,0,217,796,3.67,7,103,81,785,9.69,5,2,0,12,,,230.0,311.1,317.1,270.6,122.0,2,2.0,2025
3,Jahmyr Gibbs,DET,RB,23,11,11,0,0,0,0,0,155,951,6.14,10,55,48,379,7.9,3,0,0,13,,,211.0,259.0,265.0,235.0,104.0,3,3.0,2025
4,Jaxon Smith-Njigba,SEA,WR,23,11,11,0,0,0,0,0,6,37,6.17,0,107,80,1313,16.41,7,2,1,7,,,175.0,255.0,259.0,215.0,89.0,1,4.0,2025
5,De'Von Achane,MIA,RB,24,11,11,0,0,0,0,0,164,900,5.49,5,71,54,370,6.85,4,1,0,9,,,181.0,235.0,241.0,208.0,75.0,4,5.0,2025
6,James Cook,BUF,RB,26,11,11,0,0,0,0,0,199,1084,5.45,8,26,24,203,8.46,1,2,1,9,,,181.0,204.7,211.7,192.7,75.0,5,6.0,2025
7,Bijan Robinson,ATL,RB,23,11,11,0,0,0,0,0,172,853,4.96,4,61,49,543,11.08,2,2,1,6,1.0,,176.0,224.6,231.6,200.1,70.0,6,7.0,2025
8,George Pickens,DAL,WR,24,11,10,0,0,0,0,0,0,0,,0,92,67,1054,15.73,8,2,0,8,,,153.0,220.4,223.4,186.9,68.0,2,8.0,2025
9,Josh Allen,BUF,QB,29,11,11,228,327,2709,18,9,70,371,5.3,10,0,0,0,,0,5,2,10,,,255.0,255.5,272.5,264.5,67.0,1,9.0,2025
10,Amon-Ra St. Brown,DET,WR,26,11,11,0,0,0,0,0,3,9,3.0,0,107,75,884,11.79,9,1,0,9,,,143.0,218.3,221.3,180.8,59.0,3,10.0,2025
11,Drake Maye,NWE,QB,23,12,12,252,355,3130,21,6,75,307,4.09,2,1,1,2,2.0,0,6,2,2,1.0,,238.0,239.1,253.1,244.6,51.0,2,11.0,2025
12,Davante Adams,LAR,WR,33,11,11,0,0,0,0,0,0,0,,0,94,48,631,13.15,12,0,0,12,,,135.0,183.1,186.1,159.1,51.0,4,12.0,2025
13,Patrick Mahomes,KAN,QB,30,11,11,262,407,2977,18,7,52,318,6.12,4,0,0,0,,0,3,0,4,,2.0,237.0,236.9,249.9,243.9,50.0,3,13.0,2025
